Date,Flux,Nb appels reçus,nb_ae,nb_ae_tr90,DMR,dmt,Year,Mois,Semaine,Year_Sem,jsem,creneau,BTS,cs_ae_tr90,cs_ae,cs_tr90
2022-06-08,AMPLITEL_CR_LIVE,2,2,2,19,382,2022,6,23,2022_23,Mercredi,08:00,False,2,2,100.0
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,3,3,3,21,164,2022,6,23,2022_23,Mercredi,08:00,False,5,5,100.0
2022-06-08,AMPLITEL_CR_LIVE,19,19,19,24,212,2022,6,23,2022_23,Mercredi,08:30,False,24,24,100.0
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,6,6,6,29,233,2022,6,23,2022_23,Mercredi,08:30,False,30,30,100.0
2022-06-08,AMPLITEL_CR_LIVE,18,18,18,24,247,2022,6,23,2022_23,Mercredi,09:00,False,48,48,100.0
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,10,10,10,23,221,2022,6,23,2022_23,Mercredi,09:00,False,58,58,100.0
2022-06-08,AMPLITEL_CR_LIVE,14,14,14,19,213,2022,6,23,2022_23,Mercredi,09:30,False,72,72,100.0
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,4,4,4,23,596,2022,6,23,2022_23,Mercredi,09:30,False,76,76,100.0
2022-06-08,AMPLITEL_CR_LIVE,14,14,9,76,275,2022,6,23,2022_23,Mercredi,10:00,False,85,90,94.44444444444444
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,16,16,12,68,379,2022,6,23,2022_23,Mercredi,10:00,False,97,106,91.50943396226415
2022-06-08,AMPLITEL_CR_LIVE,27,27,22,56,227,2022,6,23,2022_23,Mercredi,10:30,False,119,133,89.47368421052632
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,10,10,7,68,324,2022,6,23,2022_23,Mercredi,10:30,False,126,143,88.11188811188812
2022-06-08,AMPLITEL_CR_LIVE,29,29,23,54,215,2022,6,23,2022_23,Mercredi,11:00,False,149,172,86.62790697674419
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,6,6,5,42,489,2022,6,23,2022_23,Mercredi,11:00,False,154,178,86.51685393258427
2022-06-08,AMPLITEL_CR_LIVE,18,18,17,32,181,2022,6,23,2022_23,Mercredi,11:30,False,171,196,87.24489795918367
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,9,9,8,44,317,2022,6,23,2022_23,Mercredi,11:30,False,179,205,87.3170731707317
2022-06-08,AMPLITEL_CR_LIVE,19,19,18,28,243,2022,6,23,2022_23,Mercredi,12:00,False,197,224,87.94642857142857
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,12,12,12,26,508,2022,6,23,2022_23,Mercredi,12:00,False,209,236,88.5593220338983
2022-06-08,AMPLITEL_CR_LIVE,15,15,15,30,242,2022,6,23,2022_23,Mercredi,12:30,False,224,251,89.2430278884462
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,9,9,8,38,299,2022,6,23,2022_23,Mercredi,12:30,False,232,260,89.23076923076924
2022-06-08,AMPLITEL_CR_LIVE,16,16,16,23,225,2022,6,23,2022_23,Mercredi,13:00,False,248,276,89.85507246376811
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,11,11,9,47,449,2022,6,23,2022_23,Mercredi,13:00,False,257,287,89.54703832752612
2022-06-08,AMPLITEL_CR_LIVE,8,8,4,116,216,2022,6,23,2022_23,Mercredi,13:30,False,261,295,88.47457627118645
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,9,9,4,122,328,2022,6,23,2022_23,Mercredi,13:30,False,265,304,87.17105263157895
2022-06-08,AMPLITEL_CR_LIVE,22,22,13,81,241,2022,6,23,2022_23,Mercredi,14:00,False,278,326,85.2760736196319
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,11,10,6,95,456,2022,6,23,2022_23,Mercredi,14:00,False,284,336,84.52380952380952
2022-06-08,AMPLITEL_CR_LIVE,17,17,6,125,269,2022,6,23,2022_23,Mercredi,14:30,False,290,353,82.15297450424929
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,6,6,1,159,208,2022,6,23,2022_23,Mercredi,14:30,False,291,359,81.05849582172702
2022-06-08,AMPLITEL_CR_LIVE,14,14,14,23,311,2022,6,23,2022_23,Mercredi,15:00,False,305,373,81.76943699731903
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,8,8,8,34,237,2022,6,23,2022_23,Mercredi,15:00,False,313,381,82.1522309711286
2022-06-08,AMPLITEL_CR_LIVE,6,6,6,27,218,2022,6,23,2022_23,Mercredi,15:30,False,319,387,82.42894056847545
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,4,4,3,60,276,2022,6,23,2022_23,Mercredi,15:30,False,322,391,82.35294117647058
2022-06-08,AMPLITEL_CR_LIVE,13,13,12,32,262,2022,6,23,2022_23,Mercredi,16:00,False,334,404,82.67326732673267
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,4,4,4,41,227,2022,6,23,2022_23,Mercredi,16:00,False,338,408,82.84313725490196
2022-06-08,AMPLITEL_CR_LIVE,9,9,9,43,220,2022,6,23,2022_23,Mercredi,16:30,False,347,417,83.21342925659472
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,1,1,1,66,761,2022,6,23,2022_23,Mercredi,16:30,False,348,418,83.25358851674642
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,3,3,2,90,447,2022,6,23,2022_23,Mercredi,17:00,False,350,421,83.1353919239905
2022-06-08,AMPLITEL_CR_LIVE,7,7,4,122,227,2022,6,23,2022_23,Mercredi,17:30,False,354,428,82.71028037383178
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,1,1,1,26,178,2022,6,23,2022_23,Mercredi,17:30,False,355,429,82.75058275058275
2022-06-08,AMPLITEL_CR_LIVE,5,5,3,75,226,2022,6,23,2022_23,Mercredi,18:00,False,358,434,82.48847926267281
2022-06-08,AMPLITEL_CR_LIVE,2,2,2,30,184,2022,6,23,2022_23,Mercredi,18:30,False,360,436,82.56880733944955
