Date,Flux,Nb appels reçus,nb_ae,nb_ae_tr90,DMR,dmt,Year,Mois,Semaine,Year_Sem,jsem,creneau,BTS,cs_ae_tr90,cs_ae,cs_tr90
2022-06-08,AMPLITEL_CR_LIVE,2,2,2,19,382,2022,6,23,2022_23,Mercredi,08:00,False,2,2,100.0
2022-06-08,AMPLITEL_CR_LIVE,19,19,19,24,212,2022,6,23,2022_23,Mercredi,08:30,False,21,21,100.0
2022-06-08,AMPLITEL_CR_LIVE,18,18,18,24,247,2022,6,23,2022_23,Mercredi,09:00,False,39,39,100.0
2022-06-08,AMPLITEL_CR_LIVE,14,14,14,19,213,2022,6,23,2022_23,Mercredi,09:30,False,53,53,100.0
2022-06-08,AMPLITEL_CR_LIVE,14,14,9,76,275,2022,6,23,2022_23,Mercredi,10:00,False,62,67,92.53731343283582
2022-06-08,AMPLITEL_CR_LIVE,27,27,22,56,227,2022,6,23,2022_23,Mercredi,10:30,False,84,94,89.36170212765957
2022-06-08,AMPLITEL_CR_LIVE,29,29,23,54,215,2022,6,23,2022_23,Mercredi,11:00,False,107,123,86.99186991869918
2022-06-08,AMPLITEL_CR_LIVE,18,18,17,32,181,2022,6,23,2022_23,Mercredi,11:30,False,124,141,87.94326241134752
2022-06-08,AMPLITEL_CR_LIVE,19,19,18,28,243,2022,6,23,2022_23,Mercredi,12:00,False,142,160,88.75
2022-06-08,AMPLITEL_CR_LIVE,15,15,15,30,242,2022,6,23,2022_23,Mercredi,12:30,False,157,175,89.71428571428571
2022-06-08,AMPLITEL_CR_LIVE,16,16,16,23,225,2022,6,23,2022_23,Mercredi,13:00,False,173,191,90.57591623036649
2022-06-08,AMPLITEL_CR_LIVE,8,8,4,116,216,2022,6,23,2022_23,Mercredi,13:30,False,177,199,88.94472361809045
2022-06-08,AMPLITEL_CR_LIVE,22,22,13,81,241,2022,6,23,2022_23,Mercredi,14:00,False,190,221,85.97285067873304
2022-06-08,AMPLITEL_CR_LIVE,17,17,6,125,269,2022,6,23,2022_23,Mercredi,14:30,False,196,238,82.35294117647058
2022-06-08,AMPLITEL_CR_LIVE,14,14,14,23,311,2022,6,23,2022_23,Mercredi,15:00,False,210,252,83.33333333333334
2022-06-08,AMPLITEL_CR_LIVE,6,6,6,27,218,2022,6,23,2022_23,Mercredi,15:30,False,216,258,83.72093023255815
2022-06-08,AMPLITEL_CR_LIVE,13,13,12,32,262,2022,6,23,2022_23,Mercredi,16:00,False,228,271,84.13284132841329
2022-06-08,AMPLITEL_CR_LIVE,9,9,9,43,220,2022,6,23,2022_23,Mercredi,16:30,False,237,280,84.64285714285714
2022-06-08,AMPLITEL_CR_LIVE,7,7,4,122,227,2022,6,23,2022_23,Mercredi,17:30,False,241,287,83.97212543554006
2022-06-08,AMPLITEL_CR_LIVE,5,5,3,75,226,2022,6,23,2022_23,Mercredi,18:00,False,244,292,83.56164383561644
2022-06-08,AMPLITEL_CR_LIVE,2,2,2,30,184,2022,6,23,2022_23,Mercredi,18:30,False,246,294,83.6734693877551
