,Date_heure,nb_ae,nb_ae_rep,nb_ae_tr90,dmr,dmt,TR90,Year,Mois,Semaine,Year_Sem,Date,jsem,creneau,BTS,cs_ae_tr,cs_ae_rep,cs_tr90
0,2022-05-02 08:00:00,16,16,6,145.0,285.5,38,2022,5,18,2022_18,2022-05-02,Lundi,08:00,False,6,16,37.5
1,2022-05-02 08:30:00,22,22,8,128.0,291.5,36,2022,5,18,2022_18,2022-05-02,Lundi,08:30,False,14,38,36.8
2,2022-05-02 09:00:00,14,14,13,30.5,263.0,93,2022,5,18,2022_18,2022-05-02,Lundi,09:00,False,27,52,51.9
3,2022-05-02 09:30:00,14,14,14,26.5,419.0,100,2022,5,18,2022_18,2022-05-02,Lundi,09:30,False,41,66,62.1
4,2022-05-02 10:00:00,24,24,23,28.5,244.0,96,2022,5,18,2022_18,2022-05-02,Lundi,10:00,False,64,90,71.1
5,2022-05-02 10:30:00,25,25,21,51.5,302.0,84,2022,5,18,2022_18,2022-05-02,Lundi,10:30,False,85,115,73.9
6,2022-05-02 11:00:00,32,32,30,31.5,214.0,94,2022,5,18,2022_18,2022-05-02,Lundi,11:00,False,115,147,78.2
7,2022-05-02 11:30:00,28,28,27,30.0,231.0,96,2022,5,18,2022_18,2022-05-02,Lundi,11:30,False,142,175,81.1
8,2022-05-02 12:00:00,31,31,27,46.5,267.0,87,2022,5,18,2022_18,2022-05-02,Lundi,12:00,False,169,206,82.0
9,2022-05-02 12:30:00,31,30,16,104.0,267.5,53,2022,5,18,2022_18,2022-05-02,Lundi,12:30,False,185,236,78.4
10,2022-05-02 13:00:00,24,24,19,55.0,298.0,79,2022,5,18,2022_18,2022-05-02,Lundi,13:00,False,204,260,78.5
11,2022-05-02 13:30:00,32,32,22,71.0,259.0,69,2022,5,18,2022_18,2022-05-02,Lundi,13:30,False,226,292,77.4
12,2022-05-02 14:00:00,30,29,25,52.0,314.0,86,2022,5,18,2022_18,2022-05-02,Lundi,14:00,False,251,321,78.2
13,2022-05-02 14:30:00,18,18,18,21.5,210.0,100,2022,5,18,2022_18,2022-05-02,Lundi,14:30,False,269,339,79.4
14,2022-05-02 15:00:00,17,17,17,20.0,267.0,100,2022,5,18,2022_18,2022-05-02,Lundi,15:00,False,286,356,80.3
15,2022-05-02 15:30:00,13,13,13,20.5,347.5,100,2022,5,18,2022_18,2022-05-02,Lundi,15:30,False,299,369,81.0
16,2022-05-02 16:00:00,16,16,16,24.0,165.5,100,2022,5,18,2022_18,2022-05-02,Lundi,16:00,False,315,385,81.8
17,2022-05-02 16:30:00,14,14,14,30.5,189.0,100,2022,5,18,2022_18,2022-05-02,Lundi,16:30,False,329,399,82.5
18,2022-05-02 17:00:00,7,7,6,60.0,232.5,86,2022,5,18,2022_18,2022-05-02,Lundi,17:00,False,335,406,82.5
19,2022-05-02 17:30:00,10,10,8,103.0,391.5,80,2022,5,18,2022_18,2022-05-02,Lundi,17:30,False,343,416,82.5
20,2022-05-02 18:00:00,8,8,6,85.0,185.5,75,2022,5,18,2022_18,2022-05-02,Lundi,18:00,False,349,424,82.3
21,2022-05-02 18:30:00,7,7,6,49.5,130.5,86,2022,5,18,2022_18,2022-05-02,Lundi,18:30,False,355,431,82.4
22,2022-05-02 19:00:00,2,2,2,22.0,286.0,100,2022,5,18,2022_18,2022-05-02,Lundi,19:00,False,357,433,82.4
23,2022-05-02 19:30:00,1,1,1,20.0,182.0,100,2022,5,18,2022_18,2022-05-02,Lundi,19:30,False,358,434,82.5
24,2022-05-03 08:00:00,6,6,6,19.0,200.5,100,2022,5,18,2022_18,2022-05-03,Mardi,08:00,False,6,6,100.0
25,2022-05-03 08:30:00,13,13,13,20.5,233.0,100,2022,5,18,2022_18,2022-05-03,Mardi,08:30,False,19,19,100.0
26,2022-05-03 09:00:00,10,10,10,21.5,174.0,100,2022,5,18,2022_18,2022-05-03,Mardi,09:00,False,29,29,100.0
27,2022-05-03 09:30:00,9,9,9,25.5,247.0,100,2022,5,18,2022_18,2022-05-03,Mardi,09:30,False,38,38,100.0
28,2022-05-03 10:00:00,13,13,12,39.5,224.0,92,2022,5,18,2022_18,2022-05-03,Mardi,10:00,False,50,51,98.0
29,2022-05-03 10:30:00,12,12,12,44.0,249.0,100,2022,5,18,2022_18,2022-05-03,Mardi,10:30,False,62,63,98.4
30,2022-05-03 11:00:00,17,17,15,45.5,208.5,88,2022,5,18,2022_18,2022-05-03,Mardi,11:00,False,77,80,96.2
31,2022-05-03 11:30:00,19,19,14,56.5,331.5,74,2022,5,18,2022_18,2022-05-03,Mardi,11:30,False,91,99,91.9
32,2022-05-03 12:00:00,13,13,12,40.5,406.5,92,2022,5,18,2022_18,2022-05-03,Mardi,12:00,False,103,112,92.0
33,2022-05-03 12:30:00,14,14,9,49.0,264.5,64,2022,5,18,2022_18,2022-05-03,Mardi,12:30,False,112,126,88.9
34,2022-05-03 13:00:00,14,13,13,31.5,292.5,100,2022,5,18,2022_18,2022-05-03,Mardi,13:00,False,125,139,89.9
35,2022-05-03 13:30:00,17,17,17,30.5,178.5,100,2022,5,18,2022_18,2022-05-03,Mardi,13:30,False,142,156,91.0
36,2022-05-03 14:00:00,17,17,17,36.5,197.5,100,2022,5,18,2022_18,2022-05-03,Mardi,14:00,False,159,173,91.9
37,2022-05-03 14:30:00,20,20,15,55.5,200.0,75,2022,5,18,2022_18,2022-05-03,Mardi,14:30,False,174,193,90.2
38,2022-05-03 15:00:00,15,15,15,23.5,175.5,100,2022,5,18,2022_18,2022-05-03,Mardi,15:00,False,189,208,90.9
39,2022-05-03 15:30:00,14,14,11,53.5,221.0,79,2022,5,18,2022_18,2022-05-03,Mardi,15:30,False,200,222,90.1
40,2022-05-03 16:00:00,4,4,2,98.0,307.0,50,2022,5,18,2022_18,2022-05-03,Mardi,16:00,False,202,226,89.4
41,2022-05-03 16:30:00,9,9,9,34.0,337.0,100,2022,5,18,2022_18,2022-05-03,Mardi,16:30,False,211,235,89.8
42,2022-05-03 17:00:00,4,4,3,110.0,237.0,75,2022,5,18,2022_18,2022-05-03,Mardi,17:00,False,214,239,89.5
43,2022-05-03 17:30:00,3,3,3,21.0,156.0,100,2022,5,18,2022_18,2022-05-03,Mardi,17:30,False,217,242,89.7
44,2022-05-03 18:00:00,4,4,4,20.5,169.5,100,2022,5,18,2022_18,2022-05-03,Mardi,18:00,False,221,246,89.8
45,2022-05-03 19:00:00,1,1,1,19.0,80.0,100,2022,5,18,2022_18,2022-05-03,Mardi,19:00,False,222,247,89.9
46,2022-05-03 19:30:00,1,1,1,19.0,33.0,100,2022,5,18,2022_18,2022-05-03,Mardi,19:30,False,223,248,89.9
47,2022-05-04 08:00:00,10,10,8,59.0,218.5,80,2022,5,18,2022_18,2022-05-04,Mercredi,08:00,False,8,10,80.0
48,2022-05-04 08:30:00,20,20,3,274.0,362.5,15,2022,5,18,2022_18,2022-05-04,Mercredi,08:30,False,11,30,36.7
49,2022-05-04 09:00:00,25,25,19,70.0,273.0,76,2022,5,18,2022_18,2022-05-04,Mercredi,09:00,False,30,55,54.5
50,2022-05-04 09:30:00,15,15,15,26.5,238.5,100,2022,5,18,2022_18,2022-05-04,Mercredi,09:30,False,45,70,64.3
51,2022-05-04 10:00:00,21,21,14,70.0,239.0,67,2022,5,18,2022_18,2022-05-04,Mercredi,10:00,False,59,91,64.8
52,2022-05-04 10:30:00,34,34,17,108.5,297.5,50,2022,5,18,2022_18,2022-05-04,Mercredi,10:30,False,76,125,60.8
53,2022-05-04 11:00:00,21,21,13,82.0,171.5,62,2022,5,18,2022_18,2022-05-04,Mercredi,11:00,False,89,146,61.0
54,2022-05-04 11:30:00,28,28,16,91.5,304.0,57,2022,5,18,2022_18,2022-05-04,Mercredi,11:30,False,105,174,60.3
55,2022-05-04 12:00:00,24,23,23,26.5,278.5,100,2022,5,18,2022_18,2022-05-04,Mercredi,12:00,False,128,197,65.0
56,2022-05-04 12:30:00,23,23,21,45.0,363.0,91,2022,5,18,2022_18,2022-05-04,Mercredi,12:30,False,149,220,67.7
57,2022-05-04 13:00:00,23,23,17,68.0,215.0,74,2022,5,18,2022_18,2022-05-04,Mercredi,13:00,False,166,243,68.3
58,2022-05-04 13:30:00,15,15,15,31.0,314.5,100,2022,5,18,2022_18,2022-05-04,Mercredi,13:30,False,181,258,70.2
59,2022-05-04 14:00:00,20,20,17,56.0,223.5,85,2022,5,18,2022_18,2022-05-04,Mercredi,14:00,False,198,278,71.2
60,2022-05-04 14:30:00,22,22,20,44.5,357.0,91,2022,5,18,2022_18,2022-05-04,Mercredi,14:30,False,218,300,72.7
61,2022-05-04 15:00:00,12,12,12,26.0,187.0,100,2022,5,18,2022_18,2022-05-04,Mercredi,15:00,False,230,312,73.7
62,2022-05-04 15:30:00,13,13,13,35.0,279.5,100,2022,5,18,2022_18,2022-05-04,Mercredi,15:30,False,243,325,74.8
63,2022-05-04 16:00:00,14,14,14,24.0,164.0,100,2022,5,18,2022_18,2022-05-04,Mercredi,16:00,False,257,339,75.8
64,2022-05-04 16:30:00,13,13,13,23.0,314.0,100,2022,5,18,2022_18,2022-05-04,Mercredi,16:30,False,270,352,76.7
65,2022-05-04 17:00:00,7,7,7,27.0,148.0,100,2022,5,18,2022_18,2022-05-04,Mercredi,17:00,False,277,359,77.2
66,2022-05-04 17:30:00,7,7,7,20.5,191.0,100,2022,5,18,2022_18,2022-05-04,Mercredi,17:30,False,284,366,77.6
67,2022-05-04 18:00:00,5,5,5,37.0,93.0,100,2022,5,18,2022_18,2022-05-04,Mercredi,18:00,False,289,371,77.9
68,2022-05-04 18:30:00,4,4,3,66.0,156.0,75,2022,5,18,2022_18,2022-05-04,Mercredi,18:30,False,292,375,77.9
69,2022-05-04 19:00:00,5,5,5,30.0,261.5,100,2022,5,18,2022_18,2022-05-04,Mercredi,19:00,False,297,380,78.2
70,2022-05-05 08:00:00,9,9,8,34.0,242.0,89,2022,5,18,2022_18,2022-05-05,Jeudi,08:00,False,8,9,88.9
71,2022-05-05 08:30:00,16,16,7,105.5,310.0,44,2022,5,18,2022_18,2022-05-05,Jeudi,08:30,False,15,25,60.0
72,2022-05-05 09:00:00,17,17,14,71.5,225.5,82,2022,5,18,2022_18,2022-05-05,Jeudi,09:00,False,29,42,69.0
73,2022-05-05 09:30:00,12,12,12,20.0,397.0,100,2022,5,18,2022_18,2022-05-05,Jeudi,09:30,False,41,54,75.9
74,2022-05-05 10:00:00,19,19,14,53.5,262.0,74,2022,5,18,2022_18,2022-05-05,Jeudi,10:00,False,55,73,75.3
75,2022-05-05 10:30:00,20,20,14,82.5,234.0,70,2022,5,18,2022_18,2022-05-05,Jeudi,10:30,False,69,93,74.2
76,2022-05-05 11:00:00,28,27,25,46.5,246.0,93,2022,5,18,2022_18,2022-05-05,Jeudi,11:00,False,94,120,78.3
77,2022-05-05 11:30:00,21,21,21,24.0,325.5,100,2022,5,18,2022_18,2022-05-05,Jeudi,11:30,False,115,141,81.6
